Palabra,Etiqueta_POS
Viaje,PROPN
al,ADP
Río,PROPN
de,ADP
la,DET
Plata,PROPN
(,PUNCT
1534-1554,NOUN
),PUNCT
"
",SPACE
Urich,PROPN
Schmidel,PROPN
"

",SPACE
Buenos,PROPN
Aires,PROPN
",",PUNCT
Alsina,PROPN
500,NUM
"
",SPACE
Cabaut,PROPN
y,CCONJ
Cía.,PUNCT
Editores,PROPN
-,PUNCT
Librería,PROPN
del,ADP
Colegio,PROPN
"
",SPACE
1903,NOUN
"
 
",SPACE
CAPÍTULO,PROPN
I,CCONJ
"
",SPACE
LA,DET
NAVEGACIÓN,NOUN
DE,ADP
AMBERES,PROPN
Á,PROPN
ESPAÑA,PROPN
"

",SPACE
En,ADP
primer,ADJ
lugar,NOUN
después,ADV
de,ADP
haber,AUX
partido,VERB
de,ADP
Andorf,PROPN
(,PUNCT
Amberes,PROPN
),PUNCT
llegué,VERB
á,ADP
los,DET
14,NUM
días,NOUN
á,ADP
Hispania,PROPN
",",PUNCT
á,ADP
una,DET
ciudad,NOUN
que,PRON
se,PRON
llama,VERB
Khalles,PROPN
(,PUNCT
Cádiz,PROPN
),PUNCT
",",PUNCT
hasta,ADP
allí,ADV
 ,SPACE
se,PRON
 ,SPACE
cuentan,VERB
 ,SPACE
400,NUM
 ,SPACE
millas,NOUN
(,PUNCT
leguas,NOUN
),PUNCT
por,ADP
mar,PROPN
.,PUNCT
"
",SPACE
En,ADP
la,DET
costa,NOUN
de,ADP
aquella,DET
ciudad,NOUN
ví,VERB
una,DET
ballena,NOUN
ó,CCONJ
cetáceo,NOUN
de,ADP
35,NUM
pasos,NOUN
de,ADP
largo,NOUN
",",PUNCT
de,ADP
la,DET
que,PRON
se,PRON
sacaron,VERB
unos,PRON
30,NUM
cascos,NOUN
llenos,ADJ
de,ADP
aceite,NOUN
",",PUNCT
cascos,NOUN
como,SCONJ
los,DET
de,ADP
harenques,NOUN
.,PUNCT
"
",SPACE
Cerca,ADV
de,ADP
la,DET
susodicha,ADJ
ciudad,NOUN
de,ADP
Khalles,PROPN
(,PUNCT
Cádiz,PROPN
),PUNCT
estaban,VERB
surtos,ADJ
14,NUM
grandes,ADJ
navíos,NOUN
bien,ADV
provistos,ADJ
de,ADP
toda,DET
munición,NOUN
y,CCONJ
de,ADP
cuanto,NOUN
era,AUX
necesario,ADJ
",",PUNCT
que,PRON
estaban,VERB
por,ADP
emprender,VERB
viaje,NOUN
al,ADP
Rieo,PROPN
delle,PROPN
Platta,PROPN
en,ADP
Indiam,PROPN
(,PUNCT
Indias,PROPN
),PUNCT
.,PUNCT
También,ADV
se,PRON
hallaban,VERB
allí,ADV
2500,NUM
Españoles,PROPN
y,CCONJ
150,NUM
Alto-Alemanes,PROPN
",",PUNCT
Neerlandeses,PROPN
y,CCONJ
Sajones,PROPN
",",PUNCT
junto,ADJ
con,ADP
el,DET
capitán,NOUN
general,ADJ
de,ADP
todos,DET
nosotros,PRON
",",PUNCT
que,PRON
se,PRON
llamaba,VERB
tum,NOUN
Pietro,PROPN
Mandossa,PROPN
.,PUNCT
"
",SPACE
Entre,ADP
estos,DET
14,NUM
navíos,NOUN
estaba,AUX
uno,PRON
de,ADP
propiedad,NOUN
de,ADP
los,DET
señores,NOUN
Sewastian,PROPN
Neithart,PROPN
 ,SPACE
y,CCONJ
Jacoben,PROPN
Welser,PROPN
de,ADP
Niremburgo,PROPN
",",PUNCT
quienes,PRON
mandaban,VERB
á,ADP
su,DET
factor,NOUN
" 

",SPACE
CAPÍTULO,PROPN
II,PROPN
"
",SPACE
LA,DET
NAVEGACIÓN,NOUN
DE,ADP
ESPAÑA,PROPN
Á,PROPN
LAS,DET
CANARIAS,PROPN
"
",SPACE
Después,ADV
de,ADP
esto,PRON
salimos,VERB
de,ADP
allí,ADV
y,CCONJ
arribamos,VERB
á,ADP
tres,NUM
islas,NOUN
que,PRON
están,AUX
cerca,ADV
unas,PRON
de,ADP
otras,PRON
",",PUNCT
de,ADP
las,DET
que,PRON
la,DET
primera,ADJ
se,PRON
llama,VERB
Dennerieffe,PROPN
",",PUNCT
la,DET
segunda,ADJ
",",PUNCT
Cumero,PROPN
(,PUNCT
Gomera,PROPN
),PUNCT
y,CCONJ
la,DET
tercera,ADJ
",",PUNCT
Polmant,PROPN
(,PUNCT
Palma,PROPN
),PUNCT
;,PUNCT
y,CCONJ
de,ADP
la,DET
ciudad,NOUN
de,ADP
S.,PROPN
Lucas,PROPN
(,PUNCT
San,PROPN
Lucar,PROPN
),PUNCT
á,ADP
las,DET
islas,NOUN
se,PRON
cuentan,VERB
más,ADV
ó,CCONJ
menos,ADV
200,NUM
millas,NOUN
(,PUNCT
leguas,NOUN
),PUNCT
.,PUNCT
En,ADP
estas,DET
islas,NOUN
se,PRON
dispersaron,VERB
los,DET
navíos,NOUN
.,PUNCT
Las,DET
islas,NOUN
pertenecen,VERB
á,ADP
la,DET
Cesárea,PROPN
Majestad,PROPN
",",PUNCT
y,CCONJ
las,PRON
habitan,VERB
sólo,ADV
los,DET
Españoles,PROPN
con,ADP
sus,DET
mujeres,NOUN
é,CCONJ
hijos,NOUN
.,PUNCT
Y,CCONJ
allá,ADV
descansamos,VERB
.,PUNCT
Arribamos,VERB
también,ADV
con,ADP
3,NUM
de,ADP
los,DET
navíos,NOUN
á,ADP
la,DET
Palma,PROPN
y,CCONJ
allí,ADV
permanecimos,VERB
unas,PRON
4,NUM
semanas,NOUN
haciendo,VERB
provisión,NOUN
y,CCONJ
reparando,VERB
averías,NOUN
.,PUNCT
"
",SPACE
Mas,PROPN
después,ADV
de,ADP
ésto,PRON
",",PUNCT
mientras,CCONJ
nuestro,DET
general,NOUN
",",PUNCT
tum,PROPN
Pietro,PROPN
Manthossa,PROPN
se,PRON
hallaba,VERB
á,ADP
unas,PRON
8,NUM
ó,CCONJ
9,NUM
millas,NOUN
(,PUNCT
leguas,NOUN
),PUNCT
distante,ADJ
de,ADP
nosotros,PRON
",",PUNCT
resultó,VERB
que,SCONJ
habíamos,AUX
tenido,VERB
á,ADP
bordo,NOUN
de,ADP
nuestro,DET
navío,NOUN
á,ADP
ton,NOUN
Jerg,PROPN
Manthossa,PROPN
primo,NOUN
del,ADP
señor,NOUN
tonn,PROPN
Pietro,PROPN
Manthossa,PROPN
:,PUNCT
este,PRON
se,PRON
había,AUX
enamorado,VERB
de,ADP
la,DET
hija,NOUN
de,ADP
un,DET
vecino,NOUN
en,ADP
Palman,PROPN
(,PUNCT
la,DET
Palma,PROPN
),PUNCT
y,CCONJ
como,SCONJ
estábamos,AUX
por,ADP
salir,VERB
al,ADP
día,NOUN
siguiente,ADJ
",",PUNCT
el,DET
dicho,ADJ
thonn,NOUN
Jerg,PROPN
Manthossa,PROPN
bajó,VERB
á,ADP
tierra,NOUN
esa,DET
misma,DET
noche,NOUN
",",PUNCT
á,ADP
las,DET
12,NUM
",",PUNCT
con,ADP
12,NUM
compañeros,NOUN
de,ADP
los,DET
buenos,ADJ
",",PUNCT
y,CCONJ
sin,ADP
